,Federal Information Processing Standard (FIPS) Code,State,Area name,"Less than a high school diploma, 2007-11","High school diploma only, 2007-11","Some college or associate's degree, 2007-11","Bachelor's degree or higher, 2007-11","Percent of adults with less than a high school diploma, 2007-11","Percent of adults with a high school diploma only, 2007-11","Percent of adults completing some college or associate's degree, 2007-11",Percent of adults with a bachelor's degree or higher 2007-11,"Less than a high school diploma, 2016-20","High school diploma only, 2016-20","Some college or associate's degree, 2016-20","Bachelor's degree or higher, 2016-20","Percent of adults with less than a high school diploma, 2016-20","Percent of adults with a high school diploma only, 2016-20","Percent of adults completing some college or associate's degree, 2016-20",Percent of adults with a bachelor's degree or higher 2015-19
0,0,US,United States,"29,518,935","57,861,283","57,694,281","56,973,624",14.6,28.6,28.6,28.2,"25,562,680","59,421,419","64,496,416","73,356,319",11.5,26.7,28.9,32.9
1,1000,AL,Alabama,"567,670","986,404","894,565","689,439",18.1,31.4,28.5,22.0,"438,947","1,014,342","1,013,673","877,044",13.1,30.3,30.3,26.2
2,1001,AL,Autauga County,"4,685","12,113","10,305","7,478",13.5,35.0,29.8,21.6,"4,273","11,880","10,986","10,721",11.3,31.4,29.0,28.3
3,1003,AL,Baldwin County,"15,094","36,271","39,216","33,869",12.1,29.1,31.5,27.2,"14,823","42,272","48,832","49,636",9.5,27.2,31.4,31.9
4,1005,AL,Barbour County,"5,216","6,249","4,829","2,630",27.6,33.0,25.5,13.9,"4,497","6,361","4,872","2,067",25.3,35.7,27.4,11.6
5,1007,AL,Bibb County,"3,690","6,414","3,687","1,500",24.1,41.9,24.1,9.8,"3,056","7,206","3,911","1,814",19.1,45.1,24.5,11.3
6,1009,AL,Blount County,"10,330","13,839","9,957","4,347",26.8,36.0,25.9,11.3,"6,838","13,975","13,725","5,276",17.2,35.1,34.5,13.3
7,1011,AL,Bullock County,"2,110","2,614","1,729","1,084",28.0,34.7,22.9,14.4,"1,700","2,809","1,578",697,25.1,41.4,23.3,10.3
8,1013,AL,Butler County,"3,561","5,275","3,518","1,742",25.3,37.4,25.0,12.4,"1,886","6,425","3,304","2,205",13.6,46.5,23.9,16.0
9,1015,AL,Calhoun County,"17,296","26,319","22,126","12,365",22.1,33.7,28.3,15.8,"11,787","27,203","25,087","14,890",14.9,34.4,31.8,18.9
