Federal Information Processing Standard (FIPS) Code,State,Area name,Year,Less than a high school diploma,High school diploma only,Some college or associate's degree,Bachelor's degree or higher,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher
0,US,United States,2007,29518935,57861283,57694281,56973624,14.6,28.6,28.6,28.2
0,US,United States,2008,29518935,57861283,57694281,56973624,14.6,28.6,28.6,28.2
0,US,United States,2009,29518935,57861283,57694281,56973624,14.6,28.6,28.6,28.2
0,US,United States,2010,29518935,57861283,57694281,56973624,14.6,28.6,28.6,28.2
0,US,United States,2011,29518935,57861283,57694281,56973624,14.6,28.6,28.6,28.2
0,US,United States,2016,25562680,59421419,64496416,73356319,11.5,26.7,28.9,32.9
0,US,United States,2017,25562680,59421419,64496416,73356319,11.5,26.7,28.9,32.9
0,US,United States,2018,25562680,59421419,64496416,73356319,11.5,26.7,28.9,32.9
0,US,United States,2019,25562680,59421419,64496416,73356319,11.5,26.7,28.9,32.9
0,US,United States,2020,25562680,59421419,64496416,73356319,11.5,26.7,28.9,32.9
1000,AL,Alabama,2007,567670,986404,894565,689439,18.1,31.4,28.5,22.0
1000,AL,Alabama,2008,567670,986404,894565,689439,18.1,31.4,28.5,22.0
1000,AL,Alabama,2009,567670,986404,894565,689439,18.1,31.4,28.5,22.0
1000,AL,Alabama,2010,567670,986404,894565,689439,18.1,31.4,28.5,22.0
1000,AL,Alabama,2011,567670,986404,894565,689439,18.1,31.4,28.5,22.0
1000,AL,Alabama,2016,438947,1014342,1013673,877044,13.1,30.3,30.3,26.2
1000,AL,Alabama,2017,438947,1014342,1013673,877044,13.1,30.3,30.3,26.2
1000,AL,Alabama,2018,438947,1014342,1013673,877044,13.1,30.3,30.3,26.2
1000,AL,Alabama,2019,438947,1014342,1013673,877044,13.1,30.3,30.3,26.2
1000,AL,Alabama,2020,438947,1014342,1013673,877044,13.1,30.3,30.3,26.2
1001,AL,Autauga County,2007,4685,12113,10305,7478,13.5,35.0,29.8,21.6
1001,AL,Autauga County,2008,4685,12113,10305,7478,13.5,35.0,29.8,21.6
1001,AL,Autauga County,2009,4685,12113,10305,7478,13.5,35.0,29.8,21.6
1001,AL,Autauga County,2010,4685,12113,10305,7478,13.5,35.0,29.8,21.6
1001,AL,Autauga County,2011,4685,12113,10305,7478,13.5,35.0,29.8,21.6
1001,AL,Autauga County,2016,4273,11880,10986,10721,11.3,31.4,29.0,28.3
1001,AL,Autauga County,2017,4273,11880,10986,10721,11.3,31.4,29.0,28.3
1001,AL,Autauga County,2018,4273,11880,10986,10721,11.3,31.4,29.0,28.3
1001,AL,Autauga County,2019,4273,11880,10986,10721,11.3,31.4,29.0,28.3
1001,AL,Autauga County,2020,4273,11880,10986,10721,11.3,31.4,29.0,28.3
1003,AL,Baldwin County,2007,15094,36271,39216,33869,12.1,29.1,31.5,27.2
1003,AL,Baldwin County,2008,15094,36271,39216,33869,12.1,29.1,31.5,27.2
1003,AL,Baldwin County,2009,15094,36271,39216,33869,12.1,29.1,31.5,27.2
1003,AL,Baldwin County,2010,15094,36271,39216,33869,12.1,29.1,31.5,27.2
1003,AL,Baldwin County,2011,15094,36271,39216,33869,12.1,29.1,31.5,27.2
1003,AL,Baldwin County,2016,14823,42272,48832,49636,9.5,27.2,31.4,31.9
1003,AL,Baldwin County,2017,14823,42272,48832,49636,9.5,27.2,31.4,31.9
1003,AL,Baldwin County,2018,14823,42272,48832,49636,9.5,27.2,31.4,31.9
1003,AL,Baldwin County,2019,14823,42272,48832,49636,9.5,27.2,31.4,31.9
1003,AL,Baldwin County,2020,14823,42272,48832,49636,9.5,27.2,31.4,31.9
1005,AL,Barbour County,2007,5216,6249,4829,2630,27.6,33.0,25.5,13.9
1005,AL,Barbour County,2008,5216,6249,4829,2630,27.6,33.0,25.5,13.9
1005,AL,Barbour County,2009,5216,6249,4829,2630,27.6,33.0,25.5,13.9
1005,AL,Barbour County,2010,5216,6249,4829,2630,27.6,33.0,25.5,13.9
1005,AL,Barbour County,2011,5216,6249,4829,2630,27.6,33.0,25.5,13.9
1005,AL,Barbour County,2016,4497,6361,4872,2067,25.3,35.7,27.4,11.6
1005,AL,Barbour County,2017,4497,6361,4872,2067,25.3,35.7,27.4,11.6
1005,AL,Barbour County,2018,4497,6361,4872,2067,25.3,35.7,27.4,11.6
1005,AL,Barbour County,2019,4497,6361,4872,2067,25.3,35.7,27.4,11.6
1005,AL,Barbour County,2020,4497,6361,4872,2067,25.3,35.7,27.4,11.6
1007,AL,Bibb County,2007,3690,6414,3687,1500,24.1,41.9,24.1,9.8
1007,AL,Bibb County,2008,3690,6414,3687,1500,24.1,41.9,24.1,9.8
1007,AL,Bibb County,2009,3690,6414,3687,1500,24.1,41.9,24.1,9.8
1007,AL,Bibb County,2010,3690,6414,3687,1500,24.1,41.9,24.1,9.8
1007,AL,Bibb County,2011,3690,6414,3687,1500,24.1,41.9,24.1,9.8
1007,AL,Bibb County,2016,3056,7206,3911,1814,19.1,45.1,24.5,11.3
1007,AL,Bibb County,2017,3056,7206,3911,1814,19.1,45.1,24.5,11.3
1007,AL,Bibb County,2018,3056,7206,3911,1814,19.1,45.1,24.5,11.3
1007,AL,Bibb County,2019,3056,7206,3911,1814,19.1,45.1,24.5,11.3
1007,AL,Bibb County,2020,3056,7206,3911,1814,19.1,45.1,24.5,11.3
1009,AL,Blount County,2007,10330,13839,9957,4347,26.8,36.0,25.9,11.3
1009,AL,Blount County,2008,10330,13839,9957,4347,26.8,36.0,25.9,11.3
1009,AL,Blount County,2009,10330,13839,9957,4347,26.8,36.0,25.9,11.3
1009,AL,Blount County,2010,10330,13839,9957,4347,26.8,36.0,25.9,11.3
1009,AL,Blount County,2011,10330,13839,9957,4347,26.8,36.0,25.9,11.3
1009,AL,Blount County,2016,6838,13975,13725,5276,17.2,35.1,34.5,13.3
1009,AL,Blount County,2017,6838,13975,13725,5276,17.2,35.1,34.5,13.3
1009,AL,Blount County,2018,6838,13975,13725,5276,17.2,35.1,34.5,13.3
1009,AL,Blount County,2019,6838,13975,13725,5276,17.2,35.1,34.5,13.3
1009,AL,Blount County,2020,6838,13975,13725,5276,17.2,35.1,34.5,13.3
1011,AL,Bullock County,2007,2110,2614,1729,1084,28.0,34.7,22.9,14.4
1011,AL,Bullock County,2008,2110,2614,1729,1084,28.0,34.7,22.9,14.4
1011,AL,Bullock County,2009,2110,2614,1729,1084,28.0,34.7,22.9,14.4
1011,AL,Bullock County,2010,2110,2614,1729,1084,28.0,34.7,22.9,14.4
1011,AL,Bullock County,2011,2110,2614,1729,1084,28.0,34.7,22.9,14.4
1011,AL,Bullock County,2016,1700,2809,1578,697,25.1,41.4,23.3,10.3
1011,AL,Bullock County,2017,1700,2809,1578,697,25.1,41.4,23.3,10.3
1011,AL,Bullock County,2018,1700,2809,1578,697,25.1,41.4,23.3,10.3
1011,AL,Bullock County,2019,1700,2809,1578,697,25.1,41.4,23.3,10.3
1011,AL,Bullock County,2020,1700,2809,1578,697,25.1,41.4,23.3,10.3
1013,AL,Butler County,2007,3561,5275,3518,1742,25.3,37.4,25.0,12.4
1013,AL,Butler County,2008,3561,5275,3518,1742,25.3,37.4,25.0,12.4
1013,AL,Butler County,2009,3561,5275,3518,1742,25.3,37.4,25.0,12.4
1013,AL,Butler County,2010,3561,5275,3518,1742,25.3,37.4,25.0,12.4
1013,AL,Butler County,2011,3561,5275,3518,1742,25.3,37.4,25.0,12.4
1013,AL,Butler County,2016,1886,6425,3304,2205,13.6,46.5,23.9,16.0
1013,AL,Butler County,2017,1886,6425,3304,2205,13.6,46.5,23.9,16.0
